Level	Rule Name	Subject	Property	Value
WARN	missing_xrefs	obo:HMDM_0000001	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000002	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000005	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000006	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000007	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000008	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000009	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000010	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000012	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000015	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000016	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000018	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000019	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000020	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000021	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000022	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000023	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000025	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000032	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000035	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000037	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000049	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000050	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000068	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000073	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000074	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000076	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000077	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000078	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000081	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000089	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000090	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000091	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000092	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000094	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000095	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000097	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000098	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000099	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000108	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000125	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000126	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000128	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000142	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000147	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000150	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000151	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000153	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000164	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000168	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000210	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000211	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000213	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000214	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000215	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000216	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000217	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000218	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000219	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000220	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000221	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000222	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000223	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000224	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000225	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000226	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000227	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000228	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000229	oboInOwl:hasDbXref	
